SZd-ID;Datierung;Sterbejahr;epidat;epidat_;Weblink
wld-02.004.014-00;1813;1813;wdf-902;wdf-0902;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-902
wld-02.004.015-00;1812;1812?;wdf-900;wdf-0900;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-900
wld-02.004.016-00;1814;1814;wdf-898;wdf-0898;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-898
wld-02.004.017-00;1814;1814;wdf-896;wdf-0896;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-896
wld-02.004.018-00;1816;1816;wdf-894;wdf-0894;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-894
wld-02.004.019-00;1835;1835;wdf-892;wdf-0892;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-892
wld-02.004.020-00;1835;1835;wdf-890;wdf-0890;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-890
wld-02.005.011-00;1844;1843/44;wdf-910;wdf-0910;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-910
wld-02.005.012-00;1813;1813;wdf-912;wdf-0912;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-912
wld-02.005.013-00;1818;1818;wdf-914;wdf-0914;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-914
wld-02.007.030-00;1749;1749;wdf-728;wdf-0728;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-728
wld-02.007.031-00;1754;1754;wdf-800;wdf-0800;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-800
wld-02.007.032-00;;;wdf-850;wdf-0850;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-850
wld-02.007.033-00;;;wdf-851;wdf-0851;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-851
wld-02.008.022-00;;;wdf-685;wdf-0685;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-685
wld-02.008.023-00;1768;1768?;wdf-729;wdf-0729;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-729
wld-02.008.024-00;1764;1764;wdf-730;wdf-0730;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-730
wld-02.008.025-00;1765;1765;wdf-731;wdf-0731;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-731
wld-02.008.026-00;;;wdf-732;wdf-0732;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-732
wld-02.008.027-00;;;wdf-801;wdf-0801;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-801
wld-02.008.028-00;;;wdf-802;wdf-0802;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-802
wld-02.008.029-00;;;wdf-803;wdf-0803;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-803
wld-02.008.030-00;1781;1781;wdf-804;wdf-0804;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-804
wld-02.008.031-00;1792;1792;wdf-805;wdf-0805;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-805
wld-02.008.032-00;1779;1779;wdf-806;wdf-0806;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-806
wld-02.008.033-00;;;wdf-852;wdf-0852;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-852
wld-02.008.034-00;1789;1789;wdf-853;wdf-0853;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-853
wld-02.008.035-00;1786;1786;wdf-854;wdf-0854;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-854
wld-02.008.036-00;;;wdf-855;wdf-0855;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-855
wld-02.008.037-00;1765;1765;wdf-857;wdf-0857;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-857
wld-02.009.019-00;1677;1677;wdf-633;wdf-0633;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-633
wld-02.009.020-00;;;wdf-634;wdf-0634;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-634
wld-02.009.021-00;1690;1690;wdf-635;wdf-0635;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-635
wld-02.009.022-00;1691;1691;wdf-636;wdf-0636;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-636
wld-02.009.023-00;1701;1701;wdf-637;wdf-0637;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-637
wld-02.009.024-00;1699;1699;wdf-638;wdf-0638;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-638
wld-02.009.025-00;1711;1711;wdf-639;wdf-0639;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-639
wld-02.009.026-00;;;wdf-640;wdf-0640;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-640
wld-02.009.027-00;1693;1693;wdf-641;wdf-0641;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-641
wld-02.009.028-00;1691;1691;wdf-642;wdf-0642;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-642
wld-02.009.029-00;1693;1693;wdf-643;wdf-0643;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-643
wld-02.009.030-00;1693;1693;wdf-644;wdf-0644;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-644
wld-02.009.031-00;1727;1727;wdf-741;wdf-0741;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-741
wld-02.009.032-00;;;wdf-814;wdf-0814;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-814
wld-02.009.033-00;;;wdf-815;wdf-0815;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-815
wld-02.009.034-00;;;wdf-816;wdf-0816;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-816
wld-02.009.035-00;1714;1714;wdf-817;wdf-0817;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-817
wld-02.009.036-00;;;wdf-818;wdf-0818;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-818
wld-02.009.037-00;;;wdf-819;wdf-0819;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-819
wld-02.009.038-00;;;wdf-820;wdf-0820;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-820
wld-02.009.039-00;1744;1744;wdf-821;wdf-0821;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-821
wld-02.009.040-00;;;wdf-822;wdf-0822;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-822
wld-02.009.041-00;1757;1757?;wdf-823;wdf-0823;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-823
wld-02.009.042-00;;;wdf-824;wdf-0824;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-824
wld-02.009.043-00;1755;1755;wdf-826;wdf-0826;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-826
wld-02.009.044-00;1759;1759;wdf-827;wdf-0827;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-827
wld-02.009.045-00;1764;1764;wdf-828;wdf-0828;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-828
wld-02.009.046-00;;;wdf-829;wdf-0829;http://www.steinheim-institut.de/cgi-bin/epidat?id=wdf-829
